                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3131,                 5.3947,                 1.2577,                      0,                      0,                      0,                      0,                 2.5164,                 3.4274,                0.66796,               0.067284,             3.2716e-07,             3.2716e-07
                      1,                 3.4076,                 4.0077,                 1.1491,                      0,                      0,                      0,                      0,                 2.6278,                 3.4394,                0.65012,               0.033951,             5.9444e-07,             5.9444e-07
                      2,                 3.4615,                 4.1387,                 1.1434,                      0,                      0,                      0,                      0,                 2.7945,                 3.5699,                0.66548,             0.00061808,             7.9506e-07,             7.9506e-07
                      3,                 3.1694,                 4.0702,                 1.0413,                      0,                      0,                      0,                      0,                 2.6614,                 3.4548,                0.63088,                  7e-07,                  7e-07,                  7e-07
                      4,                 3.4582,                 3.9872,                 1.0179,                      0,                      0,                      0,                      0,                 2.6839,                 3.5077,                0.63561,                  7e-07,                  7e-07,                  7e-07
                      5,                 3.4536,                 4.2826,                 1.1746,                      0,                      0,                      0,                      0,                 2.7443,                  3.555,                0.64533,                  6e-07,                  6e-07,                  6e-07
                      6,                 3.5743,                 4.2967,                 1.0462,                      0,                      0,                      0,                      0,                 2.8297,                 3.6155,                0.66636,                  5e-07,                  5e-07,                  5e-07
                      7,                 3.6349,                 4.3593,                  1.183,                      0,                      0,                      0,                      0,                 2.7221,                 3.4999,                0.64283,                  4e-07,                  4e-07,                  4e-07
                      8,                 3.5534,                 4.3911,                 1.0941,                      0,                      0,                      0,                      0,                 2.6705,                 3.4599,                0.62536,                  3e-07,                  3e-07,                  3e-07
                      9,                 3.6536,                 4.3086,                 1.1159,                      0,                      0,                      0,                      0,                 2.7479,                 3.5544,                0.64806,                  2e-07,                  2e-07,                  2e-07
